name,year founded,industry,size range,locality,country,current employee estimate
edward jones,1922.0,financial services,10001+,"st. louis, missouri, united states",united states,20238
travelers,1853.0,insurance,10001+,"new york, new york, united states",united states,20065
state street,,financial services,10001+,"boston, massachusetts, united states",united states,19917
the walt disney company,1923.0,entertainment,10001+,"burbank, california, united states",united states,19839
nielsen,,information services,10001+,"new york, new york, united states",united states,19719
herbalife,1980.0,"health, wellness and fitness",10001+,"los angeles, california, united states",united states,19473
northwestern mutual,1857.0,financial services,10001+,"milwaukee, wisconsin, united states",united states,19406
eaton,1911.0,electrical/electronic manufacturing,10001+,"cleveland, ohio, united states",united states,19358
aflac,1955.0,insurance,10001+,"columbus, georgia, united states",united states,19357
united nations,1945.0,international affairs,10001+,"new york, new york, united states",united states,19263
mayo clinic,,hospital & health care,10001+,"rochester, minnesota, united states",united states,18846
booz allen hamilton,1914.0,management consulting,10001+,"mclean, virginia, united states",united states,18838
qualcomm,1985.0,wireless,10001+,"san diego, california, united states",united states,18614
john deere,1837.0,machinery,10001+,"moline, illinois, united states",united states,18546
aetna,1853.0,insurance,10001+,"hartford, connecticut, united states",united states,18519
enterprise rent-a-car,1957.0,automotive,10001+,"hillsborough, new hampshire, united states",united states,18509
bristol-myers squibb,1887.0,pharmaceuticals,10001+,"new york, new york, united states",united states,18504
us department of homeland security,2003.0,government administration,10001+,"washington, district of columbia, united states",united states,18497
new york life insurance company,1845.0,financial services,10001+,"new york, new york, united states",united states,18438
weatherford,1987.0,oil & energy,10001+,"houston, texas, united states",united states,18246
fluor corporation,1912.0,construction,10001+,"irving, texas, united states",united states,18228
hca,1968.0,hospital & health care,10001+,"nashville, tennessee, united states",united states,18069
dupont,1802.0,chemicals,10001+,"wilmington, delaware, united states",united states,17997
sears holdings corporation,2005.0,retail,10001+,"hoffman estates, illinois, united states",united states,17952
cleveland clinic,1921.0,hospital & health care,10001+,"cleveland, ohio, united states",united states,17891
kohl's department stores,1962.0,retail,10001+,"menomonee falls, wisconsin, united states",united states,17851
humana,1961.0,insurance,10001+,"louisville, kentucky, united states",united states,17829
primerica,1977.0,financial services,10001+,"duluth, georgia, united states",united states,17751
coldwell banker residential brokerage,1906.0,real estate,10001+,"madison, new jersey, united states",united states,17682
faa,1958.0,aviation & aerospace,10001+,"washington, district of columbia, united states",united states,17533
university of michigan,1817.0,higher education,10001+,"ann arbor, michigan, united states",united states,17439
fis,,information technology and services,10001+,"jacksonville, florida, united states",united states,17305
ge power,,oil & energy,10001+,"schenectady, new york, united states",united states,17184
epam systems,1993.0,computer software,10001+,"newtown, pennsylvania, united states",united states,17180
jcpenney,1902.0,retail,10001+,"plano, texas, united states",united states,16930
boston scientific,1979.0,medical devices,10001+,"marlborough, massachusetts, united states",united states,16903
lenovo,2005.0,computer hardware,10001+,"morrisville, north carolina, united states",united states,16797
amazon web services,2006.0,information technology and services,10001+,"seattle, washington, united states",united states,16751
philip morris international,2008.0,tobacco,10001+,"new york, new york, united states",united states,16683
alstom,1928.0,railroad manufacture,10001+,"washington, pennsylvania, united states",united states,16661
cummins inc.,1919.0,automotive,10001+,"columbus, indiana, united states",united states,16625
centurylink,1930.0,telecommunications,10001+,"monroe, louisiana, united states",united states,16598
amgen,1980.0,biotechnology,10001+,"thousand oaks, california, united states",united states,16533
cvs pharmacy,1963.0,pharmaceuticals,10001+,"woonsocket, rhode island, united states",united states,16445
ncr corporation,1884.0,information technology and services,10001+,"duluth, georgia, united states",united states,16404
amdocs,1982.0,telecommunications,10001+,"chesterfield, missouri, united states",united states,16108
abbvie,2013.0,pharmaceuticals,10001+,"north chicago, illinois, united states",united states,16096
arcelormittal,2006.0,mining & metals,10001+,"none, south carolina, united states",united states,16090
aramark,1939.0,retail,10001+,"philadelphia, pennsylvania, united states",united states,15833
samsung,1969.0,consumer electronics,10001+,"new york, new york, united states",united states,15818
cerner corporation,1979.0,information technology and services,10001+,"kansas city, missouri, united states",united states,15781
kimberly-clark,1872.0,consumer goods,10001+,"seminole, texas, united states",united states,15758
agilent technologies,1999.0,biotechnology,10001+,"santa clara, california, united states",united states,15704
upwork,2015.0,internet,10001+,"mountain view, california, united states",united states,15693
whole foods market,1980.0,supermarkets,10001+,"austin, texas, united states",united states,15674
comcast cable,1963.0,telecommunications,10001+,"philadelphia, pennsylvania, united states",united states,15667
southwest airlines,1971.0,airlines/aviation,10001+,"dallas, texas, united states",united states,15614
stryker,1941.0,medical devices,10001+,"kalamazoo, michigan, united states",united states,15560
international mission of mercy (imm),1991.0,public relations and communications,10001+,"morristown, new jersey, united states",united states,15560
bank of america merrill lynch,,financial services,10001+,"charlotte, north carolina, united states",united states,15449
publix super markets,1930.0,retail,10001+,"lakeland, florida, united states",united states,15397
youtube,2005.0,internet,10001+,"san bruno, california, united states",united states,15319
u.s. department of state,,international affairs,10001+,"washington, district of columbia, united states",united states,15219
mars,1911.0,food production,10001+,"mclean, virginia, united states",united states,15197
usaa,1922.0,financial services,10001+,"san antonio, texas, united states",united states,15109
chicago public schools,1837.0,education management,10001+,"chicago, illinois, united states",united states,15079
fresenius medical care,1996.0,hospital & health care,10001+,"waltham, massachusetts, united states",united states,14994
cushman & wakefield,1917.0,commercial real estate,10001+,"chicago, illinois, united states",united states,14982
cigna,1982.0,"health, wellness and fitness",10001+,"bloomfield, connecticut, united states",united states,14932
ymca,1844.0,non-profit organization management,10001+,"chicago, illinois, united states",united states,14924
prudential financial,1875.0,financial services,10001+,"newark, new jersey, united states",united states,14889
bosch,1886.0,mechanical or industrial engineering,10001+,"garfield, new jersey, united states",united states,14807
rodan + fields,2002.0,consumer goods,10001+,"san francisco, california, united states",united states,14799
rr donnelley,1864.0,printing,10001+,"chicago, illinois, united states",united states,14761
vmware,1998.0,computer software,10001+,"palo alto, california, united states",united states,14733
penn state university,1855.0,higher education,10001+,"university park, pennsylvania, united states",united states,14681
texas instruments,1930.0,semiconductors,10001+,"dallas, texas, united states",united states,14643
baxter international inc.,1931.0,medical devices,10001+,"deerfield, illinois, united states",united states,14603
cardinal health,1971.0,hospital & health care,10001+,"dublin, ohio, united states",united states,14534
amway,1959.0,consumer goods,10001+,"ada, michigan, united states",united states,14503
bb&t,1872.0,financial services,10001+,"winston salem, north carolina, united states",united states,14394
saic,2013.0,information technology and services,10001+,"mclean, virginia, united states",united states,14389
bureau veritas,1828.0,environmental services,10001+,"sunrise, florida, united states",united states,14375
sas,1976.0,computer software,10001+,"cary, north carolina, united states",united states,14362
coldwell banker,1906.0,real estate,10001+,"madison, new jersey, united states",united states,14342
monsanto company,2000.0,farming,10001+,"st. louis, missouri, united states",united states,14319
manpowergroup,1948.0,staffing and recruiting,10001+,"milwaukee, wisconsin, united states",united states,14319
american red cross,1881.0,non-profit organization management,10001+,"washington, district of columbia, united states",united states,14294
kelly services,1946.0,staffing and recruiting,10001+,"troy, michigan, united states",united states,14262
time warner cable,1989.0,telecommunications,10001+,"new york, new york, united states",united states,14223
adobe,1982.0,computer software,10001+,"san jose, california, united states",united states,14176
university of florida,1853.0,higher education,10001+,"gainesville, florida, united states",united states,14171
ecolab,,chemicals,10001+,"st paul, kentucky, united states",united states,14106
