handle,name,industry,size,state,founded,city
company/aes-an-employment-source-inc,AES An Employment Source Inc,staffing and recruiting,51-200,Idaho,1993,Meridian
company/aesto-health,Aesto Health,it services and it consulting,51-200,Alabama,2018,Birmingham
company/aexonic-technologies,Aexonic,it services and it consulting,51-200,California,2012,Fremont
company/affectiva_2,Affectiva,embedded software products,201-500,Massachusetts,2009,Boston
company/affinity-care-of-new-jersey,Affinity Care of New Jersey,hospitals and health care,51-200,New Jersey,2020,Brick
company/affordable-senior-care,Affordable Senior Care,hospitals and health care,51-200,California,2009,Campbell
company/afjag,U.S. Air Force JAG Corps,law practice,1K-5K,D.C.,1948,Washington D.C. Washington
company/aflac,Aflac,insurance,10K+,Georgia,1955,Columbus
company/afni,"Afni, Inc.",outsourcing and offshoring consulting,10K+,Illinois,1936,Bloomington
company/african-civic-engagement-academy-alumnis,African Civic Engagement Academy Alumnis,education,5K-10K,Georgia,2021,Athens
company/africanresources,African Resources,"transportation, logistics, supply chain and storage",51-200,California,2018,Santa Clara
company/afrinsurance,AFR Insurance,insurance,51-200,Oklahoma,1905,Oklahoma City
company/afyba,AFYBA,education administration programs,1K-5K,New York,1940,New York
company/ageofaquariusentertainment,Age of Aquarius Entertainment,entertainment,51-200,California,2017,Santa Monica
company/agora-financial,Agora Financial,book and periodical publishing,51-200,Maryland,2004,Baltimore
company/agri-fine-corporation,Agri-Fine Corporation,food and beverage manufacturing,51-200,Illinois,1984,Chicago
company/agricole-hospitality,Agricole Hospitality,restaurants,51-200,Texas,2011,Houston
company/ahi-integrative-health-wellness,AHI Integrative Health + Wellness,medical practices,51-200,Minnesota,2021,Edina
company/aia-insurance,AIA Insurance,insurance,51-200,Washington,1886,Pullman
company/aichc,All-Inclusive Community Health Center,hospitals and health care,51-200,California,2011,Burbank
company/aimia-proprietary-loyalty-u.s.-inc.,Aimia Proprietary Loyalty U.S. Inc.,individual and family services,1K-5K,Minnesota,1938,Minneapolis
company/aimtron-electronics-private-limited,Aimtron Electronics Pvt. Ltd.,"appliances, electrical, and electronics manufacturing",51-200,Illinois,2009,Palatine
company/air-china-limited,AIR CHINA LIMITED ( NORTH AMERICA),airlines and aviation,10K+,California,1988,El Segundo
company/air-transport-international,"Air Transport International, Inc.",aviation and aerospace component manufacturing,1K-5K,Ohio,1978,Wilmington
company/aircraft-hardware-west,"Clarendon Specialty Fasteners, Inc.",aviation and aerospace component manufacturing,51-200,California,2002,Long Beach
company/airductproducts,Air Duct Products,manufacturing,51-200,California,2008,Corona
company/aire-io,Aire (FinTech),financial services,51-200,District of Columbia,2014,Washington
company/airefco-inc.,Airefco,"wholesale hardware, plumbing, heating equipment",51-200,Oregon,1957,Tualatin
company/airreps,AirReps,construction,51-200,Washington,1975,Bellevue
